"dy [cm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
3.2,5.65,0,-180,-0.370968507180116
3.2,5.65,0,-179.9,-0.366077606936986
3.2,5.65,0,-179.8,-0.361334269269072
3.2,5.65,0,-179.7,-0.356738342333066
3.2,5.65,0,-179.6,-0.352289675082534
3.2,5.65,0,-179.5,-0.347988117248179
3.2,5.65,0,-179.4,-0.343833519317975
3.2,5.65,0,-179.3,-0.339825732517077
3.2,5.65,0,-179.2,-0.335964608787467
3.2,5.65,0,-179.1,-0.332250000767474
3.2,5.65,0,-179,-0.328681761771028
3.2,5.65,0,-178.9,-0.325259745766746
3.2,5.65,0,-178.8,-0.321983807356726
3.2,5.65,0,-178.7,-0.318853801755185
3.2,5.65,0,-178.6,-0.315869584766855
3.2,5.65,0,-178.5,-0.313031012765124
3.2,5.65,0,-178.4,-0.310337942669981
3.2,5.65,0,-178.3,-0.307790231925678
3.2,5.65,0,-178.2,-0.305387738478216
3.2,5.65,0,-178.1,-0.303130320752516
3.2,5.65,0,-178,-0.301017837629383
3.2,5.65,0,-177.9,-0.299050148422204
3.2,5.65,0,-177.8,-0.297227112853396
3.2,5.65,0,-177.7,-0.295548591030571
3.2,5.65,0,-177.6,-0.294014443422468
3.2,5.65,0,-177.5,-0.292624530834551
3.2,5.65,0,-177.4,-0.291378714384406
3.2,5.65,0,-177.3,-0.290276855476826
3.2,5.65,0,-177.2,-0.289318815778564
3.2,5.65,0,-177.1,-0.288504457192844
3.2,5.65,0,-177,-0.287833641833587
3.2,5.65,0,-176.9,-0.287306231999274
3.2,5.65,0,-176.8,-0.286922090146554
3.2,5.65,0,-176.7,-0.286681078863492
3.2,5.65,0,-176.6,-0.286583060842554
3.2,5.65,0,-176.5,-0.286627898853203
3.2,5.65,0,-176.4,-0.286815455714193
3.2,5.65,0,-176.3,-0.287145594265531
3.2,5.65,0,-176.2,-0.287618177340076
3.2,5.65,0,-176.1,-0.288233067734793
3.2,5.65,0,-176,-0.288990128181639
3.2,5.65,0,-175.9,-0.289889221318118
3.2,5.65,0,-175.8,-0.290930209657386
3.2,5.65,0,-175.7,-0.2921129555581
3.2,5.65,0,-175.6,-0.293437321193726
3.2,5.65,0,-175.5,-0.294903168521623
3.2,5.65,0,-175.4,-0.296510359251534
3.2,5.65,0,-175.3,-0.298258754813878
3.2,5.65,0,-175.2,-0.300148216327446
3.2,5.65,0,-175.1,-0.302178604566751
3.2,5.65,0,-175,-0.304349779928984
3.2,5.65,0,-174.9,-0.306661602400424
3.2,5.65,0,-174.8,-0.309113931522509
3.2,5.65,0,-174.7,-0.311706626357378
3.2,5.65,0,-174.6,-0.314439545452944
3.2,5.65,0,-174.5,-0.317312546807574
3.2,5.65,0,-174.4,-0.32032548783416
3.2,5.65,0,-174.3,-0.323478225323829
3.2,5.65,0,-174.2,-0.32677061540903
3.2,5.65,0,-174.1,-0.330202513526203
3.2,5.65,0,-174,-0.333773774377878
3.2,5.65,0,-173.9,-0.337484251894255
3.2,5.65,0,-173.8,-0.341333799194233
3.2,5.65,0,-173.7,-0.345322268545917
3.2,5.65,0,-173.6,-0.349449511326532
3.2,5.65,0,-173.5,-0.353715377981796
3.2,5.65,0,-173.4,-0.358119717984682
3.2,5.65,0,-173.3,-0.362662379793592
3.2,5.65,0,-173.2,-0.367343210809973
3.2,5.65,0,-173.1,-0.372162057335245
3.2,5.65,0,-173,-0.377118764527151
3.2,5.65,0,-172.9,-0.382213176355487
3.2,5.65,0,-172.8,-0.387445135557122
3.2,5.65,0,-172.7,-0.39281448359041
3.2,5.65,0,-172.6,-0.398321060588914
3.2,5.65,0,-172.5,-0.403964705314433
3.2,5.65,0,-172.4,-0.409745255109378
3.2,5.65,0,-172.3,-0.415662545848368
3.2,5.65,0,-172.2,-0.42171641188916
3.2,5.65,0,-172.1,-0.427906686022823
3.2,5.65,0,-172,-0.434233199423177
3.2,5.65,0,-171.9,-0.44069578159545
3.2,5.65,0,-171.8,-0.447294260324194
3.2,5.65,0,-171.7,-0.454028461620376
3.2,5.65,0,-171.6,-0.460898209667676
3.2,5.65,0,-171.5,-0.467903326768008
3.2,5.65,0,-171.4,-0.475043633286164
3.2,5.65,0,-171.3,-0.482318947593635
3.2,5.65,0,-171.2,-0.489729086011565
3.2,5.65,0,-171.1,-0.497273862752837
3.2,5.65,0,-171,-0.504953089863282
3.2,5.65,0,-170.9,-0.512766577161964
3.2,5.65,0,-170.8,-0.52071413218055
3.2,5.65,0,-170.7,-0.528795560101756
3.2,5.65,0,-170.6,-0.537010663696833
3.2,5.65,0,-170.5,-0.545359243262088
3.2,5.65,0,-170.4,-0.553841096554438
3.2,5.65,0,-170.3,-0.562456018725927
3.2,5.65,0,-170.2,-0.571203802257277
3.2,5.65,0,-170.1,-0.580084236890365
3.2,5.65,0,-170,-0.589097109559668
3.2,5.65,0,-169.9,-0.598242204322649
3.2,5.65,0,-169.8,-0.607519302289051
3.2,5.65,0,-169.7,-0.616928181549075
3.2,5.65,0,-169.6,-0.626468617100459
3.2,5.65,0,-169.5,-0.636140380774435
3.2,5.65,0,-169.4,-0.645943241160468
3.2,5.65,0,-169.3,-0.655876963529907
3.2,5.65,0,-169.2,-0.665941309758373
3.2,5.65,0,-169.1,-0.676136038246969
3.2,5.65,0,-169,-0.686460903842261
3.2,5.65,0,-168.9,-0.696915657754998
3.2,5.65,0,-168.8,-0.70750004747757
3.2,5.65,0,-168.7,-0.718213816700192
3.2,5.65,0,-168.6,-0.729056705225757
3.2,5.65,0,-168.5,-0.740028448883368
3.2,5.65,0,-168.4,-0.75112877944056
3.2,5.65,0,-168.3,-0.762357424514085
3.2,5.65,0,-168.2,-0.773714107479406
3.2,5.65,0,-168.1,-0.785198547378661
3.2,5.65,0,-168,-0.796810458827349
3.2,5.65,0,-167.9,-0.808549551919436
3.2,5.65,0,-167.8,-0.820415532131067
3.2,5.65,0,-167.7,-0.832408100222778
3.2,5.65,0,-167.6,-0.84452695214017
3.2,5.65,0,-167.5,-0.856771778913103
3.2,5.65,0,-167.4,-0.869142266553289
3.2,5.65,0,-167.3,-0.88163809595036
3.2,5.65,0,-167.2,-0.894258942766293
3.2,5.65,0,-167.1,-0.907004477328246
3.2,5.65,0,-167,-0.919874364519793
3.2,5.65,0,-166.9,-0.932868263670446
3.2,5.65,0,-166.8,-0.945985828443531
3.2,5.65,0,-166.7,-0.959226706722361
3.2,5.65,0,-166.6,-0.972590540494671
3.2,5.65,0,-166.5,-0.98607696573537
3.2,5.65,0,-166.4,-0.99968561228745
3.2,5.65,0,-166.3,-1.01341610374119
3.2,5.65,0,-166.2,-1.0272680573115
3.2,5.65,0,-166.1,-1.04124108371348
3.2,5.65,0,-166,-1.05533478703612
3.2,5.65,0,-165.9,-1.06954876461413
3.2,5.65,0,-165.8,-1.08388260689791
3.2,5.65,0,-165.7,-1.09833589732158
3.2,5.65,0,-165.6,-1.11290821216911
3.2,5.65,0,-165.5,-1.12759912043853
3.2,5.65,0,-165.4,-1.14240818370414
3.2,5.65,0,-165.3,-1.15733495597674
3.2,5.65,0,-165.2,-1.17237898356188
3.2,5.65,0,-165.1,-1.18753980491609
3.2,5.65,0,-165,-1.20281695050108
3.2,5.65,0,-164.9,-1.21820994263589
3.2,5.65,0,-164.8,-1.23371829534693
3.2,5.65,0,-164.7,-1.24934151421602
3.2,5.65,0,-164.6,-1.26507909622621
3.2,5.65,0,-164.5,-1.28093052960564
3.2,5.65,0,-164.4,-1.29689529366911
3.2,5.65,0,-164.3,-1.31297285865765
3.2,5.65,0,-164.2,-1.32916268557583
3.2,5.65,0,-164.1,-1.34546422602693
3.2,5.65,0,-164,-1.36187692204598
3.2,5.65,0,-163.9,-1.37840020593054
3.2,5.65,0,-163.8,-1.39503350006938
3.2,5.65,0,-163.7,-1.41177621676877
3.2,5.65,0,-163.6,-1.42862775807679
3.2,5.65,0,-163.5,-1.44558751560522
3.2,5.65,0,-163.4,-1.46265487034935
3.2,5.65,0,-163.3,-1.47982919250546
3.2,5.65,0,-163.2,-1.49710984128609
3.2,5.65,0,-163.1,-1.51449616473311
3.2,5.65,0,-163,-1.53198749952854
3.2,5.65,0,-162.9,-1.54958317080313
3.2,5.65,0,-162.8,-1.5672824919427
3.2,5.65,0,-162.7,-1.58508476439227
3.2,5.65,0,-162.6,-1.60298927745795
3.2,5.65,0,-162.5,-1.62099530810669
3.2,5.65,0,-162.4,-1.63910212076376
3.2,5.65,0,-162.3,-1.65730896710802
3.2,5.65,0,-162.2,-1.6756150858651
3.2,5.65,0,-162.1,-1.6940197025984
3.2,5.65,0,-162,-1.71252202949786
3.2,5.65,0,-161.9,-1.73112126516676
3.2,5.65,0,-161.8,-1.74981659440629
3.2,5.65,0,-161.7,-1.76860718799816
3.2,5.65,0,-161.6,-1.78749220248508
3.2,5.65,0,-161.5,-1.8064707799493
3.2,5.65,0,-161.4,-1.82554204778913
3.2,5.65,0,-161.3,-1.84470511849353
3.2,5.65,0,-161.2,-1.86395908941484
3.2,5.65,0,-161.1,-1.88330304253961
3.2,5.65,0,-161,-1.90273604425762
3.2,5.65,0,-160.9,-1.92225714512919
3.2,5.65,0,-160.8,-1.94186537965073
3.2,5.65,0,-160.7,-1.96155976601868
3.2,5.65,0,-160.6,-1.98133930589187
3.2,5.65,0,-160.5,-2.0012029841523
3.2,5.65,0,-160.4,-2.02114976866456
3.2,5.65,0,-160.3,-2.04117861003377
3.2,5.65,0,-160.2,-2.06128844136234
3.2,5.65,0,-160.1,-2.08147817800535
3.2,5.65,0,-160,-2.10174671732501
3.2,5.65,0,-159.9,-2.12209293844387
3.2,5.65,0,-159.8,-2.14251570199721
3.2,5.65,0,-159.7,-2.1630138498846
3.2,5.65,0,-159.6,-2.18358620502062
3.2,5.65,0,-159.5,-2.2042315710851
3.2,5.65,0,-159.4,-2.22494873227274
3.2,5.65,0,-159.3,-2.24573645304241
3.2,5.65,0,-159.2,-2.26659347786623
3.2,5.65,0,-159.1,-2.28751853097836
3.2,5.65,0,-159,-2.30851031612416
3.2,5.65,0,-158.9,-2.32956751630915
3.2,5.65,0,-158.8,-2.35068879354857
3.2,5.65,0,-158.7,-2.37187278861731
3.2,5.65,0,-158.6,-2.39311812080053
3.2,5.65,0,-158.5,-2.41442338764514
3.2,5.65,0,-158.4,-2.43578716471224
3.2,5.65,0,-158.3,-2.4572080053309
3.2,5.65,0,-158.2,-2.47868444035315
3.2,5.65,0,-158.1,-2.50021497791079
3.2,5.65,0,-158,-2.5217981031739
3.2,5.65,0,-157.9,-2.54343227811142
3.2,5.65,0,-157.8,-2.56511594125403
3.2,5.65,0,-157.7,-2.58684750745952
3.2,5.65,0,-157.6,-2.60862536768097
3.2,5.65,0,-157.5,-2.63044788873785
3.2,5.65,0,-157.4,-2.65231341309048
3.2,5.65,0,-157.3,-2.67422025861802
3.2,5.65,0,-157.2,-2.69616671840024
3.2,5.65,0,-157.1,-2.71815106050346
3.2,5.65,0,-157,-2.74017152777087
3.2,5.65,0,-156.9,-2.76222633761759
3.2,5.65,0,-156.8,-2.78431368183081
3.2,5.65,0,-156.7,-2.80643172637515
3.2,5.65,0,-156.6,-2.82857861120387
3.2,5.65,0,-156.5,-2.85075245007606
3.2,5.65,0,-156.4,-2.8729513303802
3.2,5.65,0,-156.3,-2.89517331296454
3.2,5.65,0,-156.2,-2.91741643197452
3.2,5.65,0,-156.1,-2.93967869469781
3.2,5.65,0,-156,-2.96195808141712
3.2,5.65,0,-155.9,-2.98425254527142
3.2,5.65,0,-155.8,-3.00656001212587
3.2,5.65,0,-155.7,-3.02887838045072
3.2,5.65,0,-155.6,-3.05120552120997
3.2,5.65,0,-155.5,-3.07353927775987
3.2,5.65,0,-155.4,-3.09587746575795
3.2,5.65,0,-155.3,-3.11821787308283
3.2,5.65,0,-155.2,-3.14055825976548
3.2,5.65,0,-155.1,-3.16289635793218
3.2,5.65,0,-155,-3.18522987175989
3.2,5.65,0,-154.9,-3.20755647744428
3.2,5.65,0,-154.8,-3.22987382318112
3.2,5.65,0,-154.7,-3.25217952916133
3.2,5.65,0,-154.6,-3.27447118758031
3.2,5.65,0,-154.5,-3.29674636266216
3.2,5.65,0,-154.4,-3.31900259069902
