"dy [cm]","Freq [GHz]","dB(St(coax_pin_T1,coax_pin_T1)) []"
3.2,5,-1.44684185445586
3.2,5.00917431192661,-1.50919678933215
3.2,5.01834862385321,-1.57578118765507
3.2,5.02752293577982,-1.64697124262561
3.2,5.03669724770642,-1.72318481506078
3.2,5.04587155963303,-1.8048867457707
3.2,5.05504587155963,-1.89259488667517
3.2,5.06422018348624,-1.9868869393669
3.2,5.07339449541284,-2.08840819389382
3.2,5.08256880733945,-2.19788026066092
3.2,5.09174311926605,-2.3161108817759
3.2,5.10091743119266,-2.44400489074814
3.2,5.11009174311927,-2.58257635492237
3.2,5.11926605504587,-2.73296187407702
3.2,5.12844036697248,-2.8964349073205
3.2,5.13761467889908,-3.07442083817628
3.2,5.14678899082569,-3.26851223406635
3.2,5.15596330275229,-3.48048336631565
3.2,5.1651376146789,-3.71230246440861
3.2,5.1743119266055,-3.96613928741066
3.2,5.18348623853211,-4.24436426741744
3.2,5.19266055045872,-4.54953351479655
3.2,5.20183486238532,-4.88435108128876
3.2,5.21100917431193,-5.25159559818913
3.2,5.22018348623853,-5.65399190920019
3.2,5.22935779816514,-6.09399779872066
3.2,5.23853211009174,-6.57345739117977
3.2,5.24770642201835,-7.09303952971433
3.2,5.25688073394495,-7.65132940860343
3.2,5.26605504587156,-8.24340627960592
3.2,5.27522935779817,-8.8588148941037
3.2,5.28440366972477,-9.4791304569378
3.2,5.29357798165138,-10.0758463784309
3.2,5.30275229357798,-10.6100867489536
3.2,5.31192660550459,-11.0364510368388
3.2,5.32110091743119,-11.3127879818291
3.2,5.3302752293578,-11.4139150229446
3.2,5.3394495412844,-11.3418698453952
3.2,5.34862385321101,-11.1251895203976
3.2,5.35779816513761,-10.8077811223676
3.2,5.36697247706422,-10.4353714056958
3.2,5.37614678899083,-10.0464928254499
3.2,5.38532110091743,-9.66938866577154
3.2,5.39449541284404,-9.32274470854025
3.2,5.40366972477064,-9.01788464261326
3.2,5.41284403669725,-8.76104762435309
3.2,5.42201834862385,-8.55522816785933
3.2,5.43119266055046,-8.40150595617193
3.2,5.44036697247706,-8.29995443543253
3.2,5.44954128440367,-8.2502452640871
3.2,5.45871559633028,-8.25204829681723
3.2,5.46788990825688,-8.30530101821028
3.2,5.47706422018349,-8.41039952491488
3.2,5.48623853211009,-8.5683477730698
3.2,5.4954128440367,-8.7808922978486
3.2,5.5045871559633,-9.05066495997613
3.2,5.51376146788991,-9.38135590202204
3.2,5.52293577981651,-9.77794301447085
3.2,5.53211009174312,-10.2470141790263
3.2,5.54128440366972,-10.7972376532783
3.2,5.55045871559633,-11.4400711480891
3.2,5.55963302752294,-12.1908662130021
3.2,5.56880733944954,-13.0706542911914
3.2,5.57798165137615,-14.1091719917814
3.2,5.58715596330275,-15.3502964909225
3.2,5.59633027522936,-16.8625951410481
3.2,5.60550458715596,-18.762060640523
3.2,5.61467889908257,-21.2689974864912
3.2,5.62385321100917,-24.8875759756375
3.2,5.63302752293578,-31.2751151564945
3.2,5.64220183486238,-44.0563369905225
3.2,5.65137614678899,-29.3545404867191
3.2,5.6605504587156,-23.8660518513139
3.2,5.6697247706422,-20.5355708252698
3.2,5.67889908256881,-18.1540212304396
3.2,5.68807339449541,-16.3104667092429
3.2,5.69724770642202,-14.8153021342735
3.2,5.70642201834862,-13.5651411061985
3.2,5.71559633027523,-12.497229578263
3.2,5.72477064220183,-11.5704970865
3.2,5.73394495412844,-10.7565145603736
3.2,5.74311926605505,-10.0347300207018
3.2,5.75229357798165,-9.38976270390883
3.2,5.76146788990826,-8.80977282731132
3.2,5.77064220183486,-8.28543130010293
3.2,5.77981651376147,-7.80924225343468
3.2,5.78899082568807,-7.37508238107475
3.2,5.79816513761468,-6.9778785542301
3.2,5.80733944954128,-6.61337647915718
3.2,5.81651376146789,-6.2779709841927
3.2,5.8256880733945,-5.96857905527235
3.2,5.8348623853211,-5.68254317298129
3.2,5.84403669724771,-5.41755654978659
3.2,5.85321100917431,-5.17160447585276
3.2,5.86238532110092,-4.94291770425437
3.2,5.87155963302752,-4.72993496680726
3.2,5.88073394495413,-4.53127250813411
3.2,5.88990825688073,-4.34569908153985
3.2,5.89908256880734,-4.17211524439335
3.2,5.90825688073395,-4.00953607417417
3.2,5.91743119266055,-3.85707663288665
3.2,5.92660550458716,-3.71393965993682
3.2,5.93577981651376,-3.5794050872933
3.2,5.94495412844037,-3.45282105653936
3.2,5.95412844036697,-3.33359618281904
3.2,5.96330275229358,-3.22119286098231
3.2,5.97247706422018,-3.11512144831519
3.2,5.98165137614679,-3.01493518883529
3.2,5.99082568807339,-2.92022576831254
3.2,6,-2.83061940840619
