"dy [mm]","Freq [GHz]","dB(St(coax_pin_T1,coax_pin_T2)) []"
32,5,-34.598821252429
32,5.00917431192661,-34.3842370917038
32,5.01834862385321,-34.1677205547788
32,5.02752293577982,-33.9492009066471
32,5.03669724770642,-33.7285920978535
32,5.04587155963303,-33.505789391376
32,5.05504587155963,-33.2806654400284
32,5.06422018348624,-33.0530657915236
32,5.07339449541284,-32.8228038315978
32,5.08256880733945,-32.5896552283628
32,5.09174311926605,-32.3533520200894
32,5.10091743119266,-32.1135766014448
32,5.11009174311927,-31.8699560175178
32,5.11926605504587,-31.6220571768107
32,5.12844036697248,-31.3693838455751
32,5.13761467889908,-31.1113765795657
32,5.14678899082569,-30.8474170642078
32,5.15596330275229,-30.5768386275423
32,5.1651376146789,-30.2989448909264
32,5.1743119266055,-30.0130385272187
32,5.18348623853211,-29.7184617739352
32,5.19266055045872,-29.4146495584723
32,5.20183486238532,-29.1011947187712
32,5.21100917431193,-28.7779228117031
32,5.22018348623853,-28.444971503978
32,5.22935779816514,-28.1028668442667
32,5.23853211009174,-27.7525863328896
32,5.24770642201835,-27.3955972907503
32,5.25688073394495,-27.0338592375881
32,5.26605504587156,-26.669781289356
32,5.27522935779817,-26.3061300781511
32,5.28440366972477,-25.9458900134997
32,5.29357798165138,-25.5920849909986
32,5.30275229357798,-25.2475776879006
32,5.31192660550459,-24.914867956396
32,5.32110091743119,-24.5959142109983
32,5.3302752293578,-24.2920002007787
32,5.3394495412844,-24.0036640121462
32,5.34862385321101,-23.7306973927553
32,5.35779816513761,-23.4722132609704
32,5.36697247706422,-23.2267697784044
32,5.37614678899083,-22.9925326109136
32,5.38532110091743,-22.7674541349424
32,5.39449541284404,-22.5494493845737
32,5.40366972477064,-22.3365525468593
32,5.41284403669725,-22.1270433804864
32,5.42201834862385,-21.9195386635624
32,5.43119266055046,-21.7130486514733
32,5.44036697247706,-21.5070020174006
32,5.44954128440367,-21.3012447583659
32,5.45871559633028,-21.0960192685294
32,5.46788990825688,-20.8919295390392
32,5.47706422018349,-20.6898975990948
32,5.48623853211009,-20.4911151860226
32,5.4954128440367,-20.2969934722348
32,5.5045871559633,-20.1091126543395
32,5.51376146788991,-19.9291724217281
32,5.52293577981651,-19.7589438053295
32,5.53211009174312,-19.6002226519341
32,5.54128440366972,-19.4547849330668
32,5.55045871559633,-19.324344216953
32,5.55963302752294,-19.2105118354618
32,5.56880733944954,-19.1147604927561
32,5.57798165137615,-19.03839222525
32,5.58715596330275,-18.982511685943
32,5.59633027522936,-18.9480056645034
32,5.60550458715596,-18.9355295652174
32,5.61467889908257,-18.9455012664441
32,5.62385321100917,-18.9781024105792
32,5.63302752293578,-19.0332867641333
32,5.64220183486238,-19.1107948890162
32,5.65137614678899,-19.2101740252394
32,5.6605504587156,-19.3308018443681
32,5.6697247706422,-19.4719126213572
32,5.67889908256881,-19.6326243974425
32,5.68807339449541,-19.8119658523064
32,5.69724770642202,-20.0089018352613
32,5.70642201834862,-20.2223567802554
32,5.71559633027523,-20.4512355081627
32,5.72477064220183,-20.6944411714649
32,5.73394495412844,-20.9508903026602
32,5.74311926605505,-21.2195250813686
32,5.75229357798165,-21.4993230377634
32,5.76146788990826,-21.7893044685215
32,5.77064220183486,-22.0885378653601
32,5.77981651376147,-22.3961436550596
32,5.78899082568807,-22.7112965322768
32,5.79816513761468,-23.0332266395535
32,5.80733944954128,-23.3612198180585
32,5.81651376146789,-23.6946171216552
32,5.8256880733945,-24.032813758084
32,5.8348623853211,-24.3752575953444
32,5.84403669724771,-24.7214473485993
32,5.85321100917431,-25.0709305427013
32,5.86238532110092,-25.4233013276186
32,5.87155963302752,-25.77819820874
32,5.88073394495413,-26.1353017415015
32,5.88990825688073,-26.4943322297182
32,5.89908256880734,-26.8550474590601
32,5.90825688073395,-27.2172404906213
32,5.91743119266055,-27.5807375341863
32,5.92660550458716,-27.9453959162505
32,5.93577981651376,-28.3111021540008
32,5.94495412844037,-28.677770143242
32,5.95412844036697,-29.0453394655314
32,5.96330275229358,-29.4137738175939
32,5.97247706422018,-29.7830595642753
32,5.98165137614679,-30.1532044149019
32,5.99082568807339,-30.5242362217967
32,6,-30.8962018989218
