"dx [mm]","dy [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
30.65,30.72,5.65,0,-180,-7.30670530493097
30.65,30.72,5.65,0,-178,-7.37617069834658
30.65,30.72,5.65,0,-176,-7.55398874984269
30.65,30.72,5.65,0,-174,-7.83981606910295
30.65,30.72,5.65,0,-172,-8.2335978061364
30.65,30.72,5.65,0,-170,-8.73517759662417
30.65,30.72,5.65,0,-168,-9.34362995436286
30.65,30.72,5.65,0,-166,-10.0561041884948
30.65,30.72,5.65,0,-164,-10.8658459120674
30.65,30.72,5.65,0,-162,-11.7589371427206
30.65,30.72,5.65,0,-160,-12.7093495092678
30.65,30.72,5.65,0,-158,-13.6726899594595
30.65,30.72,5.65,0,-156,-14.581602508263
30.65,30.72,5.65,0,-154,-15.3504834856929
30.65,30.72,5.65,0,-152,-15.8987089597021
30.65,30.72,5.65,0,-150,-16.187787083261
30.65,30.72,5.65,0,-148,-16.2437557421794
30.65,30.72,5.65,0,-146,-16.1416154103184
30.65,30.72,5.65,0,-144,-15.9682008703172
30.65,30.72,5.65,0,-142,-15.7947944537743
30.65,30.72,5.65,0,-140,-15.6690306361011
30.65,30.72,5.65,0,-138,-15.6180528768783
30.65,30.72,5.65,0,-136,-15.6542875460725
30.65,30.72,5.65,0,-134,-15.7799496970734
30.65,30.72,5.65,0,-132,-15.9894446366047
30.65,30.72,5.65,0,-130,-16.2698892410011
30.65,30.72,5.65,0,-128,-16.6002291678929
30.65,30.72,5.65,0,-126,-16.949675240886
30.65,30.72,5.65,0,-124,-17.2768235588385
30.65,30.72,5.65,0,-122,-17.5317944044402
30.65,30.72,5.65,0,-120,-17.6639489710254
30.65,30.72,5.65,0,-118,-17.6351124449874
30.65,30.72,5.65,0,-116,-17.4325463797988
30.65,30.72,5.65,0,-114,-17.0728614188913
30.65,30.72,5.65,0,-112,-16.5938044824548
30.65,30.72,5.65,0,-110,-16.0402131221661
30.65,30.72,5.65,0,-108,-15.4526554628682
30.65,30.72,5.65,0,-106,-14.8622381998854
30.65,30.72,5.65,0,-104,-14.2902534624575
30.65,30.72,5.65,0,-102,-13.7500761535139
30.65,30.72,5.65,0,-100,-13.2495179912546
30.65,30.72,5.65,0,-98,-12.7928534361651
30.65,30.72,5.65,0,-96,-12.3823324158106
30.65,30.72,5.65,0,-94,-12.0192384937538
30.65,30.72,5.65,0,-92,-11.7046114151105
30.65,30.72,5.65,0,-90,-11.4397439546038
30.65,30.72,5.65,0,-88,-11.2265370725149
30.65,30.72,5.65,0,-86,-11.0677729906952
30.65,30.72,5.65,0,-84,-10.9673467554096
30.65,30.72,5.65,0,-82,-10.9304811844438
30.65,30.72,5.65,0,-80,-10.9639323889587
30.65,30.72,5.65,0,-78,-11.0761623078634
30.65,30.72,5.65,0,-76,-11.2773860176057
30.65,30.72,5.65,0,-74,-11.5792342259083
30.65,30.72,5.65,0,-72,-11.9933526291447
30.65,30.72,5.65,0,-70,-12.5272134621547
30.65,30.72,5.65,0,-68,-13.1729259669487
30.65,30.72,5.65,0,-66,-13.8800170599232
30.65,30.72,5.65,0,-64,-14.5010399033109
30.65,30.72,5.65,0,-62,-14.7365650726798
30.65,30.72,5.65,0,-60,-14.2362497004047
30.65,30.72,5.65,0,-58,-12.9351582418652
30.65,30.72,5.65,0,-56,-11.1355043766328
