"dis [cm]","disy [cm]","Freq [GHz]","dB(St(coax_pin_T1,coax_pin_T1)) []"
3.065,3.072,5,-0.807040247153756
3.065,3.072,5.00917431192661,-0.828785058113843
3.065,3.072,5.01834862385321,-0.851404417231486
3.065,3.072,5.02752293577982,-0.874944298161106
3.065,3.072,5.03669724770642,-0.899453667936635
3.065,3.072,5.04587155963303,-0.924984714386286
3.065,3.072,5.05504587155963,-0.951593093430769
3.065,3.072,5.06422018348624,-0.979338198235476
3.065,3.072,5.07339449541284,-1.00828345240265
3.065,3.072,5.08256880733945,-1.03849662966617
3.065,3.072,5.09174311926605,-1.07005020289191
3.065,3.072,5.10091743119266,-1.10302172539604
3.065,3.072,5.11009174311927,-1.13749424781835
3.065,3.072,5.11926605504587,-1.17355677449195
3.065,3.072,5.12844036697248,-1.21130476372233
3.065,3.072,5.13761467889908,-1.25084067673651
3.065,3.072,5.14678899082569,-1.29227458072056
3.065,3.072,5.15596330275229,-1.33572481211204
3.065,3.072,5.1651376146789,-1.38131870712712
3.065,3.072,5.1743119266055,-1.42919340743126
3.065,3.072,5.18348623853211,-1.47949674994601
3.065,3.072,5.19266055045872,-1.53238825103441
3.065,3.072,5.20183486238532,-1.58804019676421
3.065,3.072,5.21100917431193,-1.64663885263935
3.065,3.072,5.22018348623853,-1.70838580817292
3.065,3.072,5.22935779816514,-1.77349947401586
3.065,3.072,5.23853211009174,-1.84221675213047
3.065,3.072,5.24770642201835,-1.91479490281311
3.065,3.072,5.25688073394495,-1.99151363616659
3.065,3.072,5.26605504587156,-2.07267745916633
3.065,3.072,5.27522935779817,-2.15861831591544
3.065,3.072,5.28440366972477,-2.24969856778455
3.065,3.072,5.29357798165138,-2.3463143621504
3.065,3.072,5.30275229357798,-2.44889945113645
3.065,3.072,5.31192660550459,-2.55792953375594
3.065,3.072,5.32110091743119,-2.67392720703735
3.065,3.072,5.3302752293578,-2.79746762864832
3.065,3.072,5.3394495412844,-2.92918501401692
3.065,3.072,5.34862385321101,-3.06978011591352
3.065,3.072,5.35779816513761,-3.22002886519778
3.065,3.072,5.36697247706422,-3.3807923895629
3.065,3.072,5.37614678899083,-3.55302867461521
3.065,3.072,5.38532110091743,-3.73780619121616
3.065,3.072,5.39449541284404,-3.93631988823036
3.065,3.072,5.40366972477064,-4.14991004550814
3.065,3.072,5.41284403669725,-4.38008460471688
3.065,3.072,5.42201834862385,-4.62854575471111
3.065,3.072,5.43119266055046,-4.89722175658712
3.065,3.072,5.44036697247706,-5.18830527015942
3.065,3.072,5.44954128440367,-5.50429981596899
3.065,3.072,5.45871559633028,-5.84807651624711
3.065,3.072,5.46788990825688,-6.22294396726499
3.065,3.072,5.47706422018349,-6.63273510132601
3.065,3.072,5.48623853211009,-7.0819163527346
3.065,3.072,5.4954128440367,-7.57572659522377
3.065,3.072,5.5045871559633,-8.12035657544995
3.065,3.072,5.51376146788991,-8.72318461130401
3.065,3.072,5.52293577981651,-9.39309233003433
3.065,3.072,5.53211009174312,-10.1408972542045
3.065,3.072,5.54128440366972,-10.9799608159718
3.065,3.072,5.55045871559633,-11.9270677153085
3.065,3.072,5.55963302752294,-13.0037381592496
3.065,3.072,5.56880733944954,-14.2382519745604
3.065,3.072,5.57798165137615,-15.6688731857136
3.065,3.072,5.58715596330275,-17.3491101080151
3.065,3.072,5.59633027522936,-19.3561952235163
3.065,3.072,5.60550458715596,-21.8025069746412
3.065,3.072,5.61467889908257,-24.8307510858158
3.065,3.072,5.62385321100917,-28.4097987838365
3.065,3.072,5.63302752293578,-30.9915225469199
3.065,3.072,5.64220183486238,-29.8307885197755
3.065,3.072,5.65137614678899,-27.3207591430693
3.065,3.072,5.6605504587156,-25.3203750776574
3.065,3.072,5.6697247706422,-23.9280008915523
3.065,3.072,5.67889908256881,-22.9929409545187
3.065,3.072,5.68807339449541,-22.3755973752398
3.065,3.072,5.69724770642202,-21.9536247135674
3.065,3.072,5.70642201834862,-21.6083068176959
3.065,3.072,5.71559633027523,-21.2232203015195
3.065,3.072,5.72477064220183,-20.7019572887357
3.065,3.072,5.73394495412844,-19.995936319265
3.065,3.072,5.74311926605505,-19.1169305309026
3.065,3.072,5.75229357798165,-18.1193289715222
3.065,3.072,5.76146788990826,-17.0682116763743
3.065,3.072,5.77064220183486,-16.0170982434029
3.065,3.072,5.77981651376147,-15.0013269516907
3.065,3.072,5.78899082568807,-14.0404786463819
3.065,3.072,5.79816513761468,-13.143241600727
3.065,3.072,5.80733944954128,-12.3116636343232
3.065,3.072,5.81651376146789,-11.5440951657428
3.065,3.072,5.8256880733945,-10.8370155502318
3.065,3.072,5.8348623853211,-10.1860977180407
3.065,3.072,5.84403669724771,-9.58680091713875
3.065,3.072,5.85321100917431,-9.03468514570274
3.065,3.072,5.86238532110092,-8.52556622262676
3.065,3.072,5.87155963302752,-8.05558169986324
3.065,3.072,5.88073394495413,-7.62120818179412
3.065,3.072,5.88990825688073,-7.21925318486366
3.065,3.072,5.89908256880734,-6.84683457956763
3.065,3.072,5.90825688073395,-6.50135486091122
3.065,3.072,5.91743119266055,-6.18047418034009
3.065,3.072,5.92660550458716,-5.8820841879879
3.065,3.072,5.93577981651376,-5.60428367127101
3.065,3.072,5.94495412844037,-5.34535638498561
3.065,3.072,5.95412844036697,-5.10375114800617
3.065,3.072,5.96330275229358,-4.87806411629259
3.065,3.072,5.97247706422018,-4.66702306412515
3.065,3.072,5.98165137614679,-4.46947347631262
3.065,3.072,5.99082568807339,-4.28436625122174
3.065,3.072,6,-4.11074682507778
