"feedX [cm]","feedY [cm]","patchX [cm]","patchY [cm]","Freq [GHz]","dB(St(coax_pin_T1,coax_pin_T1)) []"
0.5,-0.3,1.9,1.6,5,-6.54485636150992
0.5,-0.3,1.9,1.6,5.00917431192661,-6.67316667150105
0.5,-0.3,1.9,1.6,5.01834862385321,-6.79325492647568
0.5,-0.3,1.9,1.6,5.02752293577982,-6.90402199665366
0.5,-0.3,1.9,1.6,5.03669724770642,-7.00445345704121
0.5,-0.3,1.9,1.6,5.04587155963303,-7.09365711413401
0.5,-0.3,1.9,1.6,5.05504587155963,-7.17089907504627
0.5,-0.3,1.9,1.6,5.06422018348624,-7.23563579799113
0.5,-0.3,1.9,1.6,5.07339449541284,-7.287539623931
0.5,-0.3,1.9,1.6,5.08256880733945,-7.32651566588759
0.5,-0.3,1.9,1.6,5.09174311926605,-7.3527086034022
0.5,-0.3,1.9,1.6,5.10091743119266,-7.36649881381224
0.5,-0.3,1.9,1.6,5.11009174311927,-7.36848824169045
0.5,-0.3,1.9,1.6,5.11926605504587,-7.35947731606956
0.5,-0.3,1.9,1.6,5.12844036697248,-7.34043493896826
0.5,-0.3,1.9,1.6,5.13761467889908,-7.31246399808703
0.5,-0.3,1.9,1.6,5.14678899082569,-7.2767649698741
0.5,-0.3,1.9,1.6,5.15596330275229,-7.23460000313094
0.5,-0.3,1.9,1.6,5.1651376146789,-7.18725947815967
0.5,-0.3,1.9,1.6,5.1743119266055,-7.13603251394059
0.5,-0.3,1.9,1.6,5.18348623853211,-7.0821823373002
0.5,-0.3,1.9,1.6,5.19266055045872,-7.02692690802225
0.5,-0.3,1.9,1.6,5.20183486238532,-6.97142476176312
0.5,-0.3,1.9,1.6,5.21100917431193,-6.91676571196903
0.5,-0.3,1.9,1.6,5.22018348623853,-6.86396584474277
0.5,-0.3,1.9,1.6,5.22935779816514,-6.8139661340644
0.5,-0.3,1.9,1.6,5.23853211009174,-6.76763397843469
0.5,-0.3,1.9,1.6,5.24770642201835,-6.72576699119507
0.5,-0.3,1.9,1.6,5.25688073394495,-6.68909844443428
0.5,-0.3,1.9,1.6,5.26605504587156,-6.65830385311949
0.5,-0.3,1.9,1.6,5.27522935779817,-6.63400827886531
0.5,-0.3,1.9,1.6,5.28440366972477,-6.61679402270551
0.5,-0.3,1.9,1.6,5.29357798165138,-6.60720845800762
0.5,-0.3,1.9,1.6,5.30275229357798,-6.60577182559406
0.5,-0.3,1.9,1.6,5.31192660550459,-6.6129848724187
0.5,-0.3,1.9,1.6,5.32110091743119,-6.62933626322587
0.5,-0.3,1.9,1.6,5.3302752293578,-6.65530973260245
0.5,-0.3,1.9,1.6,5.3394495412844,-6.69139097415745
0.5,-0.3,1.9,1.6,5.34862385321101,-6.73807428572079
0.5,-0.3,1.9,1.6,5.35779816513761,-6.79586900583575
0.5,-0.3,1.9,1.6,5.36697247706422,-6.86530578863115
0.5,-0.3,1.9,1.6,5.37614678899083,-6.94694277232981
0.5,-0.3,1.9,1.6,5.38532110091743,-7.04137170181922
0.5,-0.3,1.9,1.6,5.39449541284404,-7.14922406813039
0.5,-0.3,1.9,1.6,5.40366972477064,-7.27117732714761
0.5,-0.3,1.9,1.6,5.41284403669725,-7.40796125560277
0.5,-0.3,1.9,1.6,5.42201834862385,-7.56036449270273
0.5,-0.3,1.9,1.6,5.43119266055046,-7.72924129767372
0.5,-0.3,1.9,1.6,5.44036697247706,-7.91551852215546
0.5,-0.3,1.9,1.6,5.44954128440367,-8.12020274385352
0.5,-0.3,1.9,1.6,5.45871559633028,-8.34438742142933
0.5,-0.3,1.9,1.6,5.46788990825688,-8.58925979003866
0.5,-0.3,1.9,1.6,5.47706422018349,-8.85610698974574
0.5,-0.3,1.9,1.6,5.48623853211009,-9.14632055322787
0.5,-0.3,1.9,1.6,5.4954128440367,-9.4613977909659
0.5,-0.3,1.9,1.6,5.5045871559633,-9.80293766613813
0.5,-0.3,1.9,1.6,5.51376146788991,-10.1726272288552
0.5,-0.3,1.9,1.6,5.52293577981651,-10.5722122265349
0.5,-0.3,1.9,1.6,5.53211009174312,-11.0034415571031
0.5,-0.3,1.9,1.6,5.54128440366972,-11.46796889013
0.5,-0.3,1.9,1.6,5.55045871559633,-11.9671846882318
0.5,-0.3,1.9,1.6,5.55963302752294,-12.5019361001334
0.5,-0.3,1.9,1.6,5.56880733944954,-13.0720685191759
0.5,-0.3,1.9,1.6,5.57798165137615,-13.6756897779358
0.5,-0.3,1.9,1.6,5.58715596330275,-14.3080203733577
0.5,-0.3,1.9,1.6,5.59633027522936,-14.9596733729455
0.5,-0.3,1.9,1.6,5.60550458715596,-15.614274552268
0.5,-0.3,1.9,1.6,5.61467889908257,-16.2456453267294
0.5,-0.3,1.9,1.6,5.62385321100917,-16.8155778992815
0.5,-0.3,1.9,1.6,5.63302752293578,-17.2746082839289
0.5,-0.3,1.9,1.6,5.64220183486238,-17.5691725556039
0.5,-0.3,1.9,1.6,5.65137614678899,-17.6563708369639
0.5,-0.3,1.9,1.6,5.6605504587156,-17.5205857286535
0.5,-0.3,1.9,1.6,5.6697247706422,-17.1804974166115
0.5,-0.3,1.9,1.6,5.67889908256881,-16.6806588209926
0.5,-0.3,1.9,1.6,5.68807339449541,-16.074578836548
0.5,-0.3,1.9,1.6,5.69724770642202,-15.4105989748392
0.5,-0.3,1.9,1.6,5.70642201834862,-14.7255023334203
0.5,-0.3,1.9,1.6,5.71559633027523,-14.0441878669749
0.5,-0.3,1.9,1.6,5.72477064220183,-13.3820372005509
0.5,-0.3,1.9,1.6,5.73394495412844,-12.7477168257702
0.5,-0.3,1.9,1.6,5.74311926605505,-12.1454948254748
0.5,-0.3,1.9,1.6,5.75229357798165,-11.5768983333669
0.5,-0.3,1.9,1.6,5.76146788990826,-11.041815309049
0.5,-0.3,1.9,1.6,5.77064220183486,-10.5391972321057
0.5,-0.3,1.9,1.6,5.77981651376147,-10.0674957981989
0.5,-0.3,1.9,1.6,5.78899082568807,-9.62492904355117
0.5,-0.3,1.9,1.6,5.79816513761468,-9.20964036981974
0.5,-0.3,1.9,1.6,5.80733944954128,-8.81979114407229
0.5,-0.3,1.9,1.6,5.81651376146789,-8.45361245171898
0.5,-0.3,1.9,1.6,5.8256880733945,-8.10943193696322
0.5,-0.3,1.9,1.6,5.8348623853211,-7.78568561296562
0.5,-0.3,1.9,1.6,5.84403669724771,-7.48092075518318
0.5,-0.3,1.9,1.6,5.85321100917431,-7.19379365080556
0.5,-0.3,1.9,1.6,5.86238532110092,-6.92306452365413
0.5,-0.3,1.9,1.6,5.87155963302752,-6.66759105034962
