"feedX [cm]","feedY [cm]","Freq [GHz]","patchX [cm]","patchY [cm]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
0.5,-0.3,5.65,1.9,1.6,0,-180,-11.6868743827244
0.5,-0.3,5.65,1.9,1.6,0,-178,-11.7397658173219
0.5,-0.3,5.65,1.9,1.6,0,-176,-11.8694203628036
0.5,-0.3,5.65,1.9,1.6,0,-174,-12.0773279249037
0.5,-0.3,5.65,1.9,1.6,0,-172,-12.3653459129765
0.5,-0.3,5.65,1.9,1.6,0,-170,-12.7358308077364
0.5,-0.3,5.65,1.9,1.6,0,-168,-13.191784150171
0.5,-0.3,5.65,1.9,1.6,0,-166,-13.7370193421153
0.5,-0.3,5.65,1.9,1.6,0,-164,-14.3763496332047
0.5,-0.3,5.65,1.9,1.6,0,-162,-15.1157835775134
0.5,-0.3,5.65,1.9,1.6,0,-160,-15.9626795788356
0.5,-0.3,5.65,1.9,1.6,0,-158,-16.9257253330445
0.5,-0.3,5.65,1.9,1.6,0,-156,-18.0143948125993
0.5,-0.3,5.65,1.9,1.6,0,-154,-19.237005087385
0.5,-0.3,5.65,1.9,1.6,0,-152,-20.5951975899195
0.5,-0.3,5.65,1.9,1.6,0,-150,-22.0697419301625
0.5,-0.3,5.65,1.9,1.6,0,-148,-23.5878203312117
0.5,-0.3,5.65,1.9,1.6,0,-146,-24.9653176985399
0.5,-0.3,5.65,1.9,1.6,0,-144,-25.8763065106689
0.5,-0.3,5.65,1.9,1.6,0,-142,-26.0210195926441
0.5,-0.3,5.65,1.9,1.6,0,-140,-25.439570355219
0.5,-0.3,5.65,1.9,1.6,0,-138,-24.4606157467148
0.5,-0.3,5.65,1.9,1.6,0,-136,-23.3812171099293
0.5,-0.3,5.65,1.9,1.6,0,-134,-22.3531355449577
0.5,-0.3,5.65,1.9,1.6,0,-132,-21.4296622713038
0.5,-0.3,5.65,1.9,1.6,0,-130,-20.6189477424144
0.5,-0.3,5.65,1.9,1.6,0,-128,-19.9118142583087
0.5,-0.3,5.65,1.9,1.6,0,-126,-19.2934271512115
0.5,-0.3,5.65,1.9,1.6,0,-124,-18.7477078519062
0.5,-0.3,5.65,1.9,1.6,0,-122,-18.2588222160798
0.5,-0.3,5.65,1.9,1.6,0,-120,-17.8115772352722
0.5,-0.3,5.65,1.9,1.6,0,-118,-17.3914830015936
0.5,-0.3,5.65,1.9,1.6,0,-116,-16.9847983900484
0.5,-0.3,5.65,1.9,1.6,0,-114,-16.5786931581069
0.5,-0.3,5.65,1.9,1.6,0,-112,-16.1615640491296
0.5,-0.3,5.65,1.9,1.6,0,-110,-15.7234752093385
0.5,-0.3,5.65,1.9,1.6,0,-108,-15.2566377099685
0.5,-0.3,5.65,1.9,1.6,0,-106,-14.7558075696401
0.5,-0.3,5.65,1.9,1.6,0,-104,-14.2184827734244
0.5,-0.3,5.65,1.9,1.6,0,-102,-13.6448244609739
0.5,-0.3,5.65,1.9,1.6,0,-100,-13.0373019281424
0.5,-0.3,5.65,1.9,1.6,0,-98,-12.4001345207061
0.5,-0.3,5.65,1.9,1.6,0,-96,-11.7386458899574
0.5,-0.3,5.65,1.9,1.6,0,-94,-11.0586457564808
0.5,-0.3,5.65,1.9,1.6,0,-92,-10.3659212679479
0.5,-0.3,5.65,1.9,1.6,0,-90,-9.66587513951437
0.5,-0.3,5.65,1.9,1.6,0,-88,-8.96330925957832
0.5,-0.3,5.65,1.9,1.6,0,-86,-8.26232893149402
0.5,-0.3,5.65,1.9,1.6,0,-84,-7.56633419523382
0.5,-0.3,5.65,1.9,1.6,0,-82,-6.87806608597952
0.5,-0.3,5.65,1.9,1.6,0,-80,-6.19968206030975
0.5,-0.3,5.65,1.9,1.6,0,-78,-5.53284238195326
0.5,-0.3,5.65,1.9,1.6,0,-76,-4.87879596497644
0.5,-0.3,5.65,1.9,1.6,0,-74,-4.23845927798299
0.5,-0.3,5.65,1.9,1.6,0,-72,-3.6124854086741
0.5,-0.3,5.65,1.9,1.6,0,-70,-3.00132257358983
0.5,-0.3,5.65,1.9,1.6,0,-68,-2.40526259680297
0.5,-0.3,5.65,1.9,1.6,0,-66,-1.82448049132112
0.5,-0.3,5.65,1.9,1.6,0,-64,-1.25906649692166
0.5,-0.3,5.65,1.9,1.6,0,-62,-0.709051922373534
0.5,-0.3,5.65,1.9,1.6,0,-60,-0.174430014420836
0.5,-0.3,5.65,1.9,1.6,0,-58,0.34482710449488
0.5,-0.3,5.65,1.9,1.6,0,-56,0.848754584762324
0.5,-0.3,5.65,1.9,1.6,0,-54,1.33738343113616
0.5,-0.3,5.65,1.9,1.6,0,-52,1.81073103858335
0.5,-0.3,5.65,1.9,1.6,0,-50,2.2687933545843
0.5,-0.3,5.65,1.9,1.6,0,-48,2.71153846388047
0.5,-0.3,5.65,1.9,1.6,0,-46,3.13890148716578
0.5,-0.3,5.65,1.9,1.6,0,-44,3.55078075244307
0.5,-0.3,5.65,1.9,1.6,0,-42,3.94703523798575
0.5,-0.3,5.65,1.9,1.6,0,-40,4.32748330149487
0.5,-0.3,5.65,1.9,1.6,0,-38,4.69190270466404
0.5,-0.3,5.65,1.9,1.6,0,-36,5.04003192044389
0.5,-0.3,5.65,1.9,1.6,0,-34,5.37157267700137
0.5,-0.3,5.65,1.9,1.6,0,-32,5.68619365315843
0.5,-0.3,5.65,1.9,1.6,0,-30,5.98353520029423
0.5,-0.3,5.65,1.9,1.6,0,-28,6.26321493003707
0.5,-0.3,5.65,1.9,1.6,0,-26,6.52483397932182
0.5,-0.3,5.65,1.9,1.6,0,-24,6.76798374707468
0.5,-0.3,5.65,1.9,1.6,0,-22,6.99225289108125
0.5,-0.3,5.65,1.9,1.6,0,-20,7.19723437935673
0.5,-0.3,5.65,1.9,1.6,0,-18,7.38253240628732
0.5,-0.3,5.65,1.9,1.6,0,-16,7.54776900781387
0.5,-0.3,5.65,1.9,1.6,0,-14,7.69259023931604
0.5,-0.3,5.65,1.9,1.6,0,-12,7.81667181177857
0.5,-0.3,5.65,1.9,1.6,0,-10,7.91972411354296
0.5,-0.3,5.65,1.9,1.6,0,-8,8.0014965740899
0.5,-0.3,5.65,1.9,1.6,0,-6,8.06178135100116
0.5,-0.3,5.65,1.9,1.6,0,-4,8.10041634026092
0.5,-0.3,5.65,1.9,1.6,0,-2,8.11728752274848
0.5,-0.3,5.65,1.9,1.6,0,0,8.1123306661076
0.5,-0.3,5.65,1.9,1.6,0,2,8.08553240163377
0.5,-0.3,5.65,1.9,1.6,0,4,8.0369306913097
0.5,-0.3,5.65,1.9,1.6,0,6,7.9666146918883
0.5,-0.3,5.65,1.9,1.6,0,8,7.87472401245523
0.5,-0.3,5.65,1.9,1.6,0,10,7.76144735084217
0.5,-0.3,5.65,1.9,1.6,0,12,7.6270204843137
0.5,-0.3,5.65,1.9,1.6,0,14,7.47172358281565
0.5,-0.3,5.65,1.9,1.6,0,16,7.29587781034974
0.5,-0.3,5.65,1.9,1.6,0,18,7.09984118313699
0.5,-0.3,5.65,1.9,1.6,0,20,6.88400366325942
0.5,-0.3,5.65,1.9,1.6,0,22,6.64878148411437
0.5,-0.3,5.65,1.9,1.6,0,24,6.3946107294261
0.5,-0.3,5.65,1.9,1.6,0,26,6.12194022022815
0.5,-0.3,5.65,1.9,1.6,0,28,5.83122380290706
0.5,-0.3,5.65,1.9,1.6,0,30,5.52291217406824
0.5,-0.3,5.65,1.9,1.6,0,32,5.19744442191016
0.5,-0.3,5.65,1.9,1.6,0,34,4.8552395056773
0.5,-0.3,5.65,1.9,1.6,0,36,4.49668793101499
